ID;Nombre;ID_Interno;ID_Visible
226402.6067;TRABAJO DE INVESTIGACIÓN - 226402.6067 (Virtual);_1629066_1;TIIN.1006.226402.6067.V
225241.1010;Gestión talento humano - 225241.1010 (Remoto);_1629063_1;RRHH.8117.225241.1010.R
225245.1003;Ing Datos gran Escala - 225245.1003 (Remoto);_1629062_1;ITEC.8011.225245.1003.R
225837.1075;SIST.DE EVAL.DE LA CONFO.Y AUD - 225837.1075 (Remoto);_1629061_1;MAGM.5148.225837.1075.R
225256.1004;Estra Eva Ent Virtuales - 225256.1004 (Remoto);_1628576_1;MAGM.8124.225256.1004.R
224845.1446;GESTIÓN DE SERVICIOS DE TI - 224845.1446 (Presencial);_1628580_1;ITEC.5103.224845.1446.P
224845.1011;E-COMMERCE - 224845.1011 (Presencial);_1628581_1;MARK.5119.224845.1011.P
224845.1386;PROC. DE RES. Y TRAN. DE CONF. - 224845.1386 (Presencial);_1628582_1;MAGM.5142.224845.1386.P
225841.1678;LEGISLACIÓN DE LA CONST - 225841.1678 (Remoto);_1628583_1;DEPR.5120.225841.1678.R
225814.1029;MÓDULO DE INVESTIGACIÓN GCGPPM - 225814.1029 (Remoto);_1628586_1;INVE.5018.225814.1029.R
224845.1507;LEAN SIX SIGMA - 224845.1507 (Remoto);_1628587_1;MAGM.5292.224845.1507.R
224845.1522;CIUDAD. DESARROLLO SOSTENIBLE - 224845.1522 (Remoto);_1628588_1;MAGM.5181.224845.1522.R
225932.1022;GESTIÓN LOGÍSTICA BIG DATA - 225932.1022 (Remoto);_1628589_1;MAGM.6174.225932.1022.R
225841.1881;MOD. GES. DE CAL. Y MEJ. CONT - 225841.1881 (Presencial);_1628590_1;MAGM.5145.225841.1881.P
225924.1024;PLANEAMIENTO ESTRATÉGICO RH - 225924.1024 (Remoto);_1628591_1;RRHH.6125.225924.1024.R
224845.1251;DIRECCIÓN DE MARKETING - 224845.1251 (Remoto);_1628592_1;MARK.5154.224845.1251.R
225832.1065;LID. GEST. DE EQUIPOS DE PROY - 225832.1065 (Remoto);_1628593_1;MAGM.5214.225832.1065.R
